"Age","Sex","True","Pred","Convergence","sim","EM","OM","Type"
7,1,3.29316533931301,3.38863072311651,"Converged",5,"Age","Growth_M (0,0)","Weight at age"
8,1,3.63217402539275,3.73812317688763,"Converged",5,"Age","Growth_M (0,0)","Weight at age"
9,1,3.93571598120077,4.05179704024703,"Converged",5,"Age","Growth_M (0,0)","Weight at age"
10,1,4.20462937945299,4.33036866368559,"Converged",5,"Age","Growth_M (0,0)","Weight at age"
11,1,4.44083947522637,4.57567360256472,"Converged",5,"Age","Growth_M (0,0)","Weight at age"
12,1,4.64689281530972,4.79019970935664,"Converged",5,"Age","Growth_M (0,0)","Weight at age"
13,1,4.82562748834234,4.97675382034033,"Converged",5,"Age","Growth_M (0,0)","Weight at age"
14,1,4.97994872083971,5.13823270105435,"Converged",5,"Age","Growth_M (0,0)","Weight at age"
15,1,5.11268313306861,5.27747244314998,"Converged",5,"Age","Growth_M (0,0)","Weight at age"
16,1,5.22648997606137,5.3971551485995,"Converged",5,"Age","Growth_M (0,0)","Weight at age"
17,1,5.32381249582001,5.49975630843943,"Converged",5,"Age","Growth_M (0,0)","Weight at age"
18,1,5.40685673335688,5.58752028123865,"Converged",5,"Age","Growth_M (0,0)","Weight at age"
19,1,5.47758844492918,5.66245455300161,"Converged",5,"Age","Growth_M (0,0)","Weight at age"
20,1,5.5377414565729,5.72633603584641,"Converged",5,"Age","Growth_M (0,0)","Weight at age"
21,1,5.58883275738382,5.7807246283957,"Converged",5,"Age","Growth_M (0,0)","Weight at age"
22,1,5.63218110882462,5.82698072696063,"Converged",5,"Age","Growth_M (0,0)","Weight at age"
23,1,5.66892701667403,5.8662844495549,"Converged",5,"Age","Growth_M (0,0)","Weight at age"
24,1,5.70005267524503,5.89965510664854,"Converged",5,"Age","Growth_M (0,0)","Weight at age"
25,1,5.72640102866033,5.92796999867709,"Converged",5,"Age","Growth_M (0,0)","Weight at age"
26,1,5.74869346247742,5.951981999995,"Converged",5,"Age","Growth_M (0,0)","Weight at age"
27,1,5.76754588734057,5.97233564773298,"Converged",5,"Age","Growth_M (0,0)","Weight at age"
28,1,5.7834831393354,5.9895816261489,"Converged",5,"Age","Growth_M (0,0)","Weight at age"
29,1,5.79695172486019,6.00418964793001,"Converged",5,"Age","Growth_M (0,0)","Weight at age"
30,1,5.80833099962894,6.01655980206906,"Converged",5,"Age","Growth_M (0,0)","Weight at age"
1,2,0.800220113406208,0.833821589488994,"Converged",5,"Age","Growth_M (0,0)","Weight at age"
2,2,1.20796285697858,1.2511928836537,"Converged",5,"Age","Growth_M (0,0)","Weight at age"
3,2,1.64445462610239,1.69763754995388,"Converged",5,"Age","Growth_M (0,0)","Weight at age"
4,2,2.08588861916587,2.14937362610242,"Converged",5,"Age","Growth_M (0,0)","Weight at age"
5,2,2.51481923738296,2.58888316474912,"Converged",5,"Age","Growth_M (0,0)","Weight at age"
6,2,2.91957186656435,3.00435232137574,"Converged",5,"Age","Growth_M (0,0)","Weight at age"
7,2,3.29316533931301,3.38863072311651,"Converged",5,"Age","Growth_M (0,0)","Weight at age"
8,2,3.63217402539275,3.73812317688763,"Converged",5,"Age","Growth_M (0,0)","Weight at age"
9,2,3.93571598120077,4.05179704024703,"Converged",5,"Age","Growth_M (0,0)","Weight at age"
10,2,4.20462937945299,4.33036866368559,"Converged",5,"Age","Growth_M (0,0)","Weight at age"
11,2,4.44083947522637,4.57567360256472,"Converged",5,"Age","Growth_M (0,0)","Weight at age"
12,2,4.64689281530972,4.79019970935664,"Converged",5,"Age","Growth_M (0,0)","Weight at age"
13,2,4.82562748834234,4.97675382034033,"Converged",5,"Age","Growth_M (0,0)","Weight at age"
