"EM","OM","sim","gradient","pdHess","convergence"
"Age","Growth_M (0,0)",113,7.30940580220508e-11,TRUE,"Converged"
"Age","Growth_M (0,0)",114,2.81209595788137e-10,TRUE,"Converged"
"Age","Growth_M (0,0)",115,2.5269765068802e-05,TRUE,"Converged"
"Age","Growth_M (0,0)",116,6.37048549312217e-05,TRUE,"Converged"
"Age","Growth_M (0,0)",117,2.73512538898705e-11,TRUE,"Converged"
"Age","Growth_M (0,0)",118,0.000143774507605621,TRUE,"Converged"
"Age","Growth_M (0,0)",119,6.260477143152e-05,TRUE,"Converged"
"Age","Growth_M (0,0)",120,8.97614257213233e-05,TRUE,"Converged"
"Age","Growth_M (0,0)",121,9.05941169523915e-05,TRUE,"Converged"
"Age","Growth_M (0,0)",122,1.91480503761254e-11,TRUE,"Converged"
"Age","Growth_M (0,0)",123,9.44347251193739e-11,TRUE,"Converged"
"Age","Growth_M (0,0)",124,7.5275130842198e-05,TRUE,"Converged"
"Age","Growth_M (0,0)",125,5.15938626614781e-05,TRUE,"Converged"
"Age","Growth_M (0,0)",126,4.62081922267328e-05,TRUE,"Converged"
"Age","Growth_M (0,0)",127,3.26430727358779e-09,TRUE,"Converged"
"Age","Growth_M (0,0)",128,1.84605776153764e-05,TRUE,"Converged"
"Age","Growth_M (0,0)",129,2.96902340395486e-05,TRUE,"Converged"
"Age","Growth_M (0,0)",130,1.40647174210403e-06,TRUE,"Converged"
"Age","Growth_M (0,0)",131,6.71269448917637e-05,TRUE,"Converged"
"Age","Growth_M (0,0)",132,3.23676749734821e-10,TRUE,"Converged"
"Age","Growth_M (0,0)",133,3.86886672934068e-11,TRUE,"Converged"
"Age","Growth_M (0,0)",134,6.07666387751877e-11,TRUE,"Converged"
"Age","Growth_M (0,0)",135,1.59713987819206e-09,TRUE,"Converged"
"Age","Growth_M (0,0)",136,1.6620895181157e-11,TRUE,"Converged"
"Age","Growth_M (0,0)",137,3.97676466379665e-10,TRUE,"Converged"
"Age","Growth_M (0,0)",138,7.29884804835028e-11,TRUE,"Converged"
"Age","Growth_M (0,0)",139,6.94879186296234e-05,TRUE,"Converged"
"Age","Growth_M (0,0)",140,0.000214357641479078,TRUE,"Converged"
"Age","Growth_M (0,0)",141,2.31677672547525e-05,TRUE,"Converged"
"Age","Growth_M (0,0)",142,1.35799562672743e-05,TRUE,"Converged"
"Age","Growth_M (0,0)",143,3.14316673273387e-11,TRUE,"Converged"
"Age","Growth_M (0,0)",144,1.94148315937088e-09,TRUE,"Converged"
"Age","Growth_M (0,0)",145,1.1958321762602e-09,TRUE,"Converged"
"Age","Growth_M (0,0)",146,8.87555780321009e-11,TRUE,"Converged"
"Age","Growth_M (0,0)",147,1.3514725454814e-11,TRUE,"Converged"
"Age","Growth_M (0,0)",148,1.76672057206261e-11,TRUE,"Converged"
"Age","Growth_M (0,0)",149,8.84854615177324e-06,TRUE,"Converged"
"Age","Growth_M (0,0)",150,0.000186554817857329,TRUE,"Converged"
"Age","Growth_M (0,0)",151,6.07849226315152e-11,TRUE,"Converged"
"Age","Growth_M (0,0)",152,0.000128916218766162,TRUE,"Converged"
"Age","Growth_M (0,0)",153,4.95967879265151e-05,TRUE,"Converged"
"Age","Growth_M (0,0)",154,3.05915777342631e-05,TRUE,"Converged"
"Age","Growth_M (0,0)",155,5.30894720119207e-06,TRUE,"Converged"
"Age","Growth_M (0,0)",156,7.14774104422769e-11,TRUE,"Converged"
"Age","Growth_M (0,0)",157,2.7936485671525e-05,TRUE,"Converged"
"Age","Growth_M (0,0)",158,2.59915785523814e-10,TRUE,"Converged"
"Age","Growth_M (0,0)",159,2.10678857846973e-09,TRUE,"Converged"
"Age","Growth_M (0,0)",160,1.95041197334979e-09,TRUE,"Converged"
"Age","Growth_M (0,0)",161,8.52479654950865e-11,TRUE,"Converged"
"Age","Growth_M (0,0)",162,3.70521397372875e-05,TRUE,"Converged"
"Age","Growth_M (0,0)",163,1.44104025151095e-09,TRUE,"Converged"
"Age","Growth_M (0,0)",164,6.4234980118412e-11,TRUE,"Converged"
"Age","Growth_M (0,0)",165,4.57505370550501e-05,TRUE,"Converged"
"Age","Growth_M (0,0)",166,1.21206608867504e-09,TRUE,"Converged"
"Age","Growth_M (0,0)",167,6.32354572408627e-11,TRUE,"Converged"
"Age","Growth_M (0,0)",168,1.81932975524918e-05,TRUE,"Converged"
"Age","Growth_M (0,0)",169,7.2252266791819e-05,TRUE,"Converged"
"Age","Growth_M (0,0)",170,3.17161833805857e-05,TRUE,"Converged"
"Age","Growth_M (0,0)",171,5.3806411290986e-05,TRUE,"Converged"
"Age","Growth_M (0,0)",172,1.35440392716192e-05,TRUE,"Converged"
"Age","Growth_M (0,0)",173,3.04361370285718e-05,TRUE,"Converged"
"Age","Growth_M (0,0)",174,1.04692398156973e-05,TRUE,"Converged"
"Age","Growth_M (0,0)",175,7.94636217425988e-11,TRUE,"Converged"
"Age","Growth_M (0,0)",176,9.85050122409086e-11,TRUE,"Converged"
"Age","Growth_M (0,0)",177,9.87203876476708e-11,TRUE,"Converged"
"Age","Growth_M (0,0)",178,7.7648708799989e-11,TRUE,"Converged"
"Age","Growth_M (0,0)",179,5.50185779285367e-05,TRUE,"Converged"
"Age","Growth_M (0,0)",180,1.31675540634821e-09,TRUE,"Converged"
"Age","Growth_M (0,0)",181,8.74314029000068e-11,TRUE,"Converged"
