"Age","Sex","True","Pred","Convergence","sim","EM","OM","Type"
10,2,4.20462937945299,4.18265222411994,"Converged",3,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
11,2,4.44083947522637,4.41712589756154,"Converged",3,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
12,2,4.64689281530972,4.62174257196376,"Converged",3,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
13,2,4.82562748834234,4.79930296658288,"Converged",3,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
14,2,4.97994872083971,4.95267504491352,"Converged",3,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
15,2,5.11268313306861,5.08465039093262,"Converged",3,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
16,2,5.22648997606137,5.19785656260982,"Converged",3,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
17,2,5.32381249582001,5.2947089127602,"Converged",3,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
18,2,5.40685673335688,5.37738943197735,"Converged",3,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
19,2,5.47758844492918,5.44784346836421,"Converged",3,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
20,2,5.5377414565729,5.50778775244741,"Converged",3,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
21,2,5.58883275738382,5.55872510581224,"Converged",3,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
22,2,5.63218110882462,5.60196265680352,"Converged",3,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
23,2,5.66892701667403,5.63863143692821,"Converged",3,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
24,2,5.70005267524503,5.66970598199815,"Converged",3,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
25,2,5.72640102866033,5.69602308911351,"Converged",3,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
26,2,5.74869346247742,5.71829924408466,"Converged",3,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
27,2,5.76754588734057,5.73714647934388,"Converged",3,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
28,2,5.7834831393354,5.75308658382633,"Converged",3,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
29,2,5.79695172486019,5.76656368873694,"Converged",3,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
30,2,5.80833099962894,5.77795531475422,"Converged",3,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
1,1,0.800220113406208,0.793423884427551,"Converged",4,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
2,1,1.20796285697858,1.20425257212544,"Converged",4,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
3,1,1.64445462610239,1.64490401969031,"Converged",4,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
4,1,2.08588861916587,2.0909416982108,"Converged",4,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
5,1,2.51481923738296,2.52445866896127,"Converged",4,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
6,1,2.91957186656435,2.93348285680308,"Converged",4,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
7,1,3.29316533931301,3.31086800574742,"Converged",4,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
8,1,3.63217402539275,3.65311944458967,"Converged",4,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
9,1,3.93571598120077,3.9593501865408,"Converged",4,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
10,1,4.20462937945299,4.23043233395259,"Converged",4,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
11,1,4.44083947522637,4.46834596982866,"Converged",4,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
12,1,4.64689281530972,4.675701107069,"Converged",4,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
13,1,4.82562748834234,4.85540012642282,"Converged",4,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
14,1,4.97994872083971,5.01040876323924,"Converged",4,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
15,1,5.11268313306861,5.14360795013142,"Converged",4,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
16,1,5.22648997606137,5.25770407738088,"Converged",4,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
17,1,5.32381249582001,5.35518027160203,"Converged",4,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
18,1,5.40685673335688,5.43827562473016,"Converged",4,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
19,1,5.47758844492918,5.50898280720657,"Converged",4,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
20,1,5.5377414565729,5.56905721935281,"Converged",4,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
21,1,5.58883275738382,5.62003288791996,"Converged",4,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
22,1,5.63218110882462,5.6632418297664,"Converged",4,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
